feature,importance
adxl_y_mean,0.1102635742102007
adxl_y_median,0.08294753324700467
adxl_x_mean,0.07716668133355749
adxl_x_median,0.07170583188134577
adxl_z_mean,0.05730919016477807
adxl_x_max,0.04919036761224738
adxl_z_median,0.04558951274587788
itg_y_mean,0.04364241541685303
adxl_y_max,0.04151972749202614
adxl_z_max,0.04033840161657166
adxl_mag_max,0.04027423990918594
itg_y_std,0.03761618129510386
adxl_y_std,0.03218252698789241
itg_y_median,0.031624465267351715
adxl_z_std,0.029639869441757512
itg_z_std,0.028046320390468008
itg_x_mean,0.026623345313381685
itg_y_max,0.024276527351878022
itg_z_max,0.022556749588278423
itg_x_median,0.022187617275836614
adxl_x_std,0.020674761632678403
itg_x_max,0.01979774755101504
itg_x_std,0.01946759413129632
itg_z_mean,0.01354605265840709
itg_z_median,0.011812765485006134
